Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PPP,+/-,PIM,EV Goals,PP Goals,SH Goals,GWG,EV Assists,PP Assists,SH Assists,S,S%,ATOI,BLK,HIT,FOW,FOL,FO%
461,Sam Bennett,23,CGY,C,52,8,4,12,1,-1,36,8,0,0,0,3,1,0,82,9.8,12:31,13,101,89,83,51.7
462,Erik Cernak,22,TBL,D,67,5,7,12,0,11,59,5,0,0,1,7,0,0,125,4,18:57,97,172,0,0,
463,Frederik Gauthier,24,TOR,C,61,7,5,12,0,-4,10,7,0,0,0,5,0,0,42,16.7,9:23,23,66,208,172,54.7
464,Cody Glass,20,VEG,C,39,5,7,12,6,-7,6,4,1,0,1,2,5,0,51,9.8,13:22,6,15,60,83,42
465,Shayne Gostisbehere,26,PHI,D,42,5,7,12,5,-4,20,4,1,0,1,3,4,0,73,6.8,18:18,37,14,0,0,
466,Ron Hainsey,38,OTT,D,64,1,11,12,0,10,12,1,0,0,1,8,0,3,43,2.3,20:41,102,51,0,0,
467,Travis Hamonic,29,CGY,D,50,3,9,12,0,-3,27,3,0,0,0,9,0,0,83,3.6,21:12,110,39,0,0,
468,Max Jones,21,ANA,LW,59,8,4,12,1,-6,36,7,0,1,0,3,1,0,102,7.8,14:16,18,82,11,16,40.7
469,Melker Karlsson,29,SJS,C,61,6,6,12,0,-7,20,6,0,0,0,6,0,0,56,10.7,12:16,39,38,14,17,45.2
470,Trevor Lewis,33,LAK,C,56,6,6,12,0,-7,16,6,0,0,1,6,0,0,92,6.5,11:54,22,68,45,71,38.8
471,Denis Malgin,23,TOR,C,44,4,8,12,1,-9,14,3,1,0,0,7,0,1,50,8,11:59,16,35,65,98,39.9
472,Ryan McDonagh,30,TBL,D,50,1,11,12,0,7,19,1,0,0,0,10,0,1,50,2,20:42,101,36,0,0,
473,Eric Robinson,24,CBJ,LW,50,7,5,12,0,10,12,7,0,0,3,5,0,0,69,10.1,10:57,15,79,4,7,36.4
474,Justin Schultz,29,PIT,D,46,3,9,12,6,-13,6,3,0,0,0,3,6,0,86,3.5,19:53,50,36,0,0,
475,Devin Shore,25,CBJ,C,45,5,7,12,2,-10,8,5,0,0,1,5,2,0,50,10,11:39,14,52,47,53,47
476,Nikita Zaitsev,28,OTT,D,58,1,11,12,0,-8,22,1,0,0,0,11,0,0,64,1.6,22:09,121,108,0,0,
477,Johnny Boychuk,36,NYI,D,64,2,9,11,1,-11,14,1,1,0,0,9,0,0,96,2.1,17:17,128,135,0,0,
478,Max Comtois,21,ANA,LW,29,5,6,11,3,-4,24,3,2,0,0,5,1,0,32,15.6,13:58,8,61,3,13,18.8
479,Jason Demers,31,ARI,D,50,0,11,11,0,5,25,0,0,0,0,10,0,1,53,0,20:30,70,76,0,0,
480,Travis Dermott,23,TOR,D,56,4,7,11,0,14,37,4,0,0,1,7,0,0,65,6.2,17:19,58,76,0,0,
481,Dante Fabbro,21,NSH,D,64,5,6,11,1,-7,38,4,1,0,0,6,0,0,92,5.4,19:02,85,54,0,0,
482,Mario Ferraro,21,SJS,D,61,2,9,11,0,-15,30,2,0,0,0,8,0,1,63,3.2,15:53,58,120,0,0,
483,Dylan Gambrell,23,SJS,C,50,5,6,11,1,-8,17,5,0,0,1,5,1,0,43,11.6,11:57,29,40,170,200,45.9
484,Michael Grabner,32,ARI,RW,46,8,3,11,0,-4,6,7,0,1,0,3,0,0,61,13.1,12:22,12,21,0,4,0
485,Mike Green,34,EDM,D,50,3,8,11,4,-34,32,2,1,0,1,5,3,0,76,3.9,20:53,66,61,0,0,
